Which department do you work?,I enjoy my work.,I feel valued.,I have the tools that enable me to do my job effectively.,I am confident that I can achieve my work goals this year.,I feel that I am able to grow in my position.,I feel that I can advance within the company.,Working for this organization makes me want to do the best work I can.,I enjoy working with my colleagues.,I am proud to tell people where I work.,I would recommend working at this company to my friends.,Working for a company that serves schools and librarians makes my job more meaningful.,Our products and services are highly respected in the marketplace.,I am paid fairly for my job.,"I feel the company's overall employee benefit package (health benefits, life insurance, disability, etc.) is competitive.",I feel the company's 401k plan is competitive.,I feel the company's paid time off policy is competitive.,I have sufficient work-life balance.,I feel that I can separate work life from home life,I enjoy working from home.,I am adequately able to care for my family and get my work done effectively.,I have the tools to cope when struggling with work or at home.,I feel that I am able to take PTO when I need to.,I know and understand the company's mission.,I am motivated and inspired by the company's mission.,I understand how my roll in the company helps attain our mission.,I know the companies values.,The company values coincide with my personal values.,My manager inspires me.,"The Senior Management inspires me. (Senior Management includes General Manager, Chief Financial Officer, and Department Directors.)",Employees are treated fairly by management.,Management promptly addresses complaints in a meaningful way.,I am comfortable approaching my manager with a concern.,"I approve of Senior Management. (Senior Management includes General Manager, Chief Financial Officer, and Department Directors.)","Senior Management listens to suggestions. (Senior Management includes General Manager, Chief Financial Officer, and Department Directors.)","I trust the direction our Senior Management is going with the company. (Senior Management includes General Manager, Chief Financial Officer, and Department Directors.)",I am confident that JLG will continue to be a viable company after the pandemic.,I am confident that JLG services will be relevant for years to come.,I approve of how JLG is addressing social issues.,I intend to be working here in 12 months’ time.,The ability to attain childcare.,The possibility/fear of getting sick.,The ability to social distance within the office.,"The ability to social distance in the building's public spaces (lobby, stairs, restrooms etc.)","The ability to have a dedicated, assigned work space.",Losing focus while working from home.,Missing the in-person team motivation/camaraderie.,"Missing in-person, one-on-one time with managers.",Lack of ability to learn in-person from peers.,Lack of technology needed to work effectively while working from home.,Not having access to books in new spans.,The possibility of not being able to make work goals.,What is your overall rating of the company?
Editorial,7,2,5,6,1,1,1,8,2,2,8,3,3,6,6,5,7,7,9,7,3,3,3,2,3,3,1,2,2,1,1,1,1,1,1,4,3,1,1,1,8,1,1,1,3,7,5,7,2,7,2,2
Editorial,8,4,6,7,2,2,5,7,5,3,8,7,2,4,6,7,5,5,7,5,5,7,8,8,8,2,2,4,2,2,1,4,2,1,2,5,5,1,5,1,8,8,8,5,2,5,7,3,5,2,8,2
Editorial,9,7,10,10,8,5,8,10,10,7,10,9,7,5,5,2,9,9,9,10,10,1,7,5,10,5,7,10,5,5,8,10,5,3,5,9,9,4,9,10,5,1,1,1,1,1,1,1,1,1,1,4
Editorial,6,1,7,10,2,4,5,10,6,1,7,6,1,5,1,6,6,6,6,7,5,3,7,6,6,2,5,5,2,4,1,2,2,2,2,6,6,5,7,1,8,9,9,9,8,10,1,8,9,7,1,2
Editorial,6,1,8,9,1,1,4,5,4,1,6,5,1,1,4,4,5,5,10,10,9,2,5,1,4,4,4,1,1,1,1,1,1,1,1,5,5,1,5,1,7,10,10,8,2,2,3,3,1,2,1,1
Editorial,6,2,5,6,2,2,6,8,6,2,9,8,2,5,7,7,3,3,5,4,4,8,6,6,5,5,5,5,2,3,3,4,2,2,2,8,9,4,2,1,8,7,8,9,7,9,7,8,7,8,7,3
Editorial,10,7,8,8,5,5,10,10,10,10,10,10,9,7,6,6,10,10,7,7,7,5,6,8,8,8,9,7,6,9,5,5,5,5,5,10,10,6,10,5,5,5,5,6,8,7,7,7,7,7,5,5
Editorial,5,1,4,6,1,1,5,3,2,2,5,5,1,1,3,5,3,5,10,10,10,3,4,4,4,3,3,5,1,3,1,5,1,3,1,3,3,1,1,1,8,10,10,10,1,1,1,3,1,1,1,2
Editorial,8,6,8,7,7,6,7,8,7,7,9,8,3,6,5,7,1,3,7,5,4,2,8,8,8,8,8,7,5,7,6,8,8,8,8,8,7,6,8,1,6,8,9,8,5,8,5,7,5,3,5,4
Average,7.222222222,3.444444444,6.777777778,7.666666667,3.222222222,3,5.666666667,7.666666667,5.777777778,3.888888889,8,6.777777778,3.222222222,4.444444444,4.777777778,5.444444444,5.444444444,5.888888889,7.777777778,7.222222222,6.333333333,3.777777778,6,5.333333333,6.222222222,4.444444444,4.888888889,5.111111111,2.888888889,3.888888889,3,4.444444444,3,2.888888889,3,6.444444444,6.333333333,3.222222222,5.333333333,2.444444444,7,6.555555556,6.777777778,6.333333333,4.111111111,5.555555556,4.111111111,5.222222222,4.222222222,4.222222222,3.444444444,2.777777778
